"","Date","DateCor","Position","Tank","Enclosure","Treatment","PredT","Density","Density.at.t.1","TotalTadMass","AvgTadMass","ChlAConcentration","TankChl","Salinity","Temp","pH","DO.","Collected.Volume..mL.","Copepoda","Diplostraca","Ostracoda","TotalZoop","Other","Detritious.Load","Leaf.Conent","CopepodPerLiter","DiploPerLiter","OstracodPerLiter","ZoopPerLiter","TotalCrust","Mass","FrogDensity","CumFrogMass","CumFrogDen","TotalAnuranMass","AvgAnuranMass","time"
"39",2024-08-17,2024-08-17,"2_A","2","A","0.4","0",7,8,2.1778,0.311114285714286,0.52,0.57,0.39,25.5,4.67,41.7,3830,17,30,0,60,13,"Low","Low",4.43864229765013,7.83289817232376,0,15.6657963446475,12.2715404699739,0,0,0,0,2.1778,0.311114285714286,3
"40",2024-08-31,2024-08-31,"2_A","2","A","0.4","0",5,7,1.4947,0.29894,0.39,0.46,0.4,27.6,5.12,47.6,3685,11,24,0,43,8,"Med","Low",2.98507462686567,6.51289009497965,0,11.6689280868385,9.49796472184532,0,0,0,0,1.4947,0.29894,4
"41",2024-09-14,2024-09-14,"2_A","2","A","0.4","0",6,5,1.9165,0.319416666666667,0.35,0.46,0.41,23.7,5.34,49.9,3610,12,6,0,34,16,"Med","None",3.32409972299169,1.66204986149584,0,9.41828254847645,4.98614958448753,0,0,0,0,1.9165,0.319416666666667,5
"42",2024-09-28,2024-09-28,"2_A","2","A","0.4","0",5,NA,1.8711,0.37422,0.58,0.58,0.38,24.5,5.47,49.7,3970,5,13,0,24,6,"Med","Med",1.25944584382872,3.27455919395466,0,6.04534005037783,4.53400503778338,0,0,0,0,1.8711,0.37422,6
"43",2024-10-12,2024-10-12,"2_A","2","A","0.4","0",5,NA,2.0791,0.41582,0.79,0.95,0.41,17.2,6.35,63.5,3760,20,11,0,41,10,"Low","Low",5.31914893617021,2.92553191489362,0,10.9042553191489,8.24468085106383,0,0,0,0,2.0791,0.41582,7
"44",2024-10-26,2024-10-26,"2_A","2","A","0.4","0",5,NA,2.1826,0.43652,1.08,1.14,0.42,20.2,6.11,56.8,3520,21,55,0,93,17,"High","Med",5.96590909090909,15.625,0,26.4204545454545,21.5909090909091,0,0,0,0,2.1826,0.43652,8
"45",2024-11-16,2024-11-16,"2_A","2","A","0.4","0",5,NA,2.0914,0.41828,0.83,1.8,0.41,14.8,6.27,54,3950,101,46,0,188,41,"Med","Med",25.5696202531646,11.6455696202532,0,47.5949367088608,37.2151898734177,0,0,0,0,2.0914,0.41828,9
"46",2024-07-23,2024-07-23,"2_B","2","B","0.4","1",29,42,1.87,0.0644827586206897,0.59472,NA,0.38,27.9,6.06,35.4,3820,106,370,0,478,12,"Null","Null",27.7486910994764,96.8586387434555,0,125.130890052356,124.607329842932,0,0,0,0,1.87,0.0644827586206897,1
"47",2024-08-03,2024-08-03,"2_B","2","B","0.4","1",13,29,1.478,0.113692307692308,0.52,0.53,0.52,27.8,4.5,35.8,3775,89,26,0,115,0,"Low","Low",23.5761589403973,6.88741721854305,0,30.4635761589404,30.4635761589404,0,0,0,0,1.478,0.113692307692308,2
"48",2024-08-17,2024-08-17,"2_B","2","B","0.4","1",11,13,2.6045,0.236772727272727,0.59,0.57,0.39,25.5,4.67,41.7,3830,17,30,0,60,13,"Low","Low",4.43864229765013,7.83289817232376,0,15.6657963446475,12.2715404699739,0,0,0,0,2.6045,0.236772727272727,3
"49",2024-08-31,2024-08-31,"2_B","2","B","0.4","1",11,11,2.2546,0.204963636363636,0.34,0.46,0.4,27.6,5.12,47.6,3685,11,24,0,43,8,"Med","Low",2.98507462686567,6.51289009497965,0,11.6689280868385,9.49796472184532,0,0,0,0,2.2546,0.204963636363636,4
"50",2024-09-14,2024-09-14,"2_B","2","B","0.4","1",10,11,2.0304,0.20304,0.46,0.46,0.41,23.7,5.34,49.9,3610,12,6,0,34,16,"Med","None",3.32409972299169,1.66204986149584,0,9.41828254847645,4.98614958448753,0,0,0,0,2.0304,0.20304,5
"51",2024-09-28,2024-09-28,"2_B","2","B","0.4","1",8,NA,1.6144,0.2018,0.57,0.58,0.38,24.5,5.47,49.7,3970,5,13,0,24,6,"Med","Med",1.25944584382872,3.27455919395466,0,6.04534005037783,4.53400503778338,0,0,0,0,1.6144,0.2018,6
"52",2024-10-12,2024-10-12,"2_B","2","B","0.4","1",7,NA,1.5897,0.2271,0.95,0.95,0.41,17.2,6.35,63.5,3760,20,11,0,41,10,"Low","Low",5.31914893617021,2.92553191489362,0,10.9042553191489,8.24468085106383,0,0,0,0,1.5897,0.2271,7
"53",2024-10-26,2024-10-26,"2_B","2","B","0.4","1",6,NA,1.3879,0.231316666666667,1.27,1.14,0.42,20.2,6.11,56.8,3520,21,55,0,93,17,"High","Med",5.96590909090909,15.625,0,26.4204545454545,21.5909090909091,0,0,0,0,1.3879,0.231316666666667,8
"54",2024-11-16,2024-11-16,"2_B","2","B","0.4","1",5,NA,1.0347,0.20694,0.84,1.8,0.41,14.8,6.27,54,3950,101,46,0,188,41,"Med","Med",25.5696202531646,11.6455696202532,0,47.5949367088608,37.2151898734177,0,0,0,0,1.0347,0.20694,9
"55",2024-07-23,2024-07-23,"2_C","2","C","0.4","0",3,3,0.7166,0.238866666666667,0.3792,NA,0.38,27.9,6.06,35.4,3820,106,370,0,478,12,"Null","Null",27.7486910994764,96.8586387434555,0,125.130890052356,124.607329842932,0,0,0,0,0.7166,0.238866666666667,1
"56",2024-08-03,2024-08-03,"2_C","2","C","0.4","0",2,3,1.0164,0.5082,0.44,0.53,0.52,27.8,4.5,35.8,3775,89,26,0,115,0,"Low","Low",23.5761589403973,6.88741721854305,0,30.4635761589404,30.4635761589404,0,0,0,0,1.0164,0.5082,2
"57",2024-08-17,2024-08-17,"2_C","2","C","0.4","0",1,2,0.6922,0.6922,0.55,0.57,0.39,25.5,4.67,41.7,3830,17,30,0,60,13,"Low","Low",4.43864229765013,7.83289817232376,0,15.6657963446475,12.2715404699739,0,0,0,0,0.6922,0.6922,3
"58",2024-08-31,2024-08-31,"2_C","2","C","0.4","0",0,NA,0,0,0.39,0.46,0.4,27.6,5.12,47.6,3685,11,24,0,43,8,"Med","Low",2.98507462686567,6.51289009497965,0,11.6689280868385,9.49796472184532,0.222,1,0.4478,2,0.4478,0.4478,4
"59",2024-09-14,2024-09-14,"2_C","2","C","0.4","0",0,NA,0,0,0.62,0.46,0.41,23.7,5.34,49.9,3610,12,6,0,34,16,"Med","None",3.32409972299169,1.66204986149584,0,9.41828254847645,4.98614958448753,0.222,1,0.4478,2,0.4478,0.4478,5
"60",2024-09-28,2024-09-28,"2_C","2","C","0.4","0",6,NA,1.6796,0.279933333333333,0.88,0.58,0.38,24.5,5.47,49.7,3970,5,13,0,24,6,"Med","Med",1.25944584382872,3.27455919395466,0,6.04534005037783,4.53400503778338,0.222,1,0.4478,2,2.1274,0.303914285714286,6
"61",2024-10-12,2024-10-12,"2_C","2","C","0.4","0",0,NA,0,0,4.07,0.95,0.41,17.2,6.35,63.5,3760,20,11,0,41,10,"Low","Low",5.31914893617021,2.92553191489362,0,10.9042553191489,8.24468085106383,0.222,1,0.4478,2,0.4478,0.4478,7
"62",2024-10-26,2024-10-26,"2_C","2","C","0.4","0",0,NA,0,0,3.53,1.14,0.42,20.2,6.11,56.8,3520,21,55,0,93,17,"High","Med",5.96590909090909,15.625,0,26.4204545454545,21.5909090909091,0.222,1,0.4478,2,0.4478,0.4478,8
"63",2024-11-16,2024-11-16,"2_C","2","C","0.4","0",0,NA,0,0,1.03,1.8,0.41,14.8,6.27,54,3950,101,46,0,188,41,"Med","Med",25.5696202531646,11.6455696202532,0,47.5949367088608,37.2151898734177,0.222,1,0.4478,2,0.4478,0.4478,9
"64",2024-07-23,2024-07-23,"2_D","2","D","0.4","1",30,64,1.5906,0.05302,1.04832,NA,0.38,27.9,6.06,35.4,3820,106,370,0,478,12,"Null","Null",27.7486910994764,96.8586387434555,0,125.130890052356,124.607329842932,0,0,0,0,1.5906,0.05302,1
"65",2024-08-03,2024-08-03,"2_D","2","D","0.4","1",9,30,1.2579,0.139766666666667,0.58,0.53,0.52,27.8,4.5,35.8,3775,89,26,0,115,0,"Low","Low",23.5761589403973,6.88741721854305,0,30.4635761589404,30.4635761589404,0,0,0,0,1.2579,0.139766666666667,2
"66",2024-08-17,2024-08-17,"2_D","2","D","0.4","1",8,9,2.0213,0.2526625,0.51,0.57,0.39,25.5,4.67,41.7,3830,17,30,0,60,13,"Low","Low",4.43864229765013,7.83289817232376,0,15.6657963446475,12.2715404699739,0,0,0,0,2.0213,0.2526625,3
"67",2024-08-31,2024-08-31,"2_D","2","D","0.4","1",7,8,1.7219,0.245985714285714,0.49,0.46,0.4,27.6,5.12,47.6,3685,11,24,0,43,8,"Med","Low",2.98507462686567,6.51289009497965,0,11.6689280868385,9.49796472184532,0,0,0,0,1.7219,0.245985714285714,4
"68",2024-09-14,2024-09-14,"2_D","2","D","0.4","1",7,7,1.8112,0.258742857142857,0.39,0.46,0.41,23.7,5.34,49.9,3610,12,6,0,34,16,"Med","None",3.32409972299169,1.66204986149584,0,9.41828254847645,4.98614958448753,0,0,0,0,1.8112,0.258742857142857,5
"69",2024-09-28,2024-09-28,"2_D","2","D","0.4","1",0,NA,0,0,0.78,0.58,0.38,24.5,5.47,49.7,3970,5,13,0,24,6,"Med","Med",1.25944584382872,3.27455919395466,0,6.04534005037783,4.53400503778338,0,0,0,0,0,0,6
"70",2024-10-12,2024-10-12,"2_D","2","D","0.4","1",7,NA,1.9045,0.272071428571429,0.84,0.95,0.41,17.2,6.35,63.5,3760,20,11,0,41,10,"Low","Low",5.31914893617021,2.92553191489362,0,10.9042553191489,8.24468085106383,0,0,0,0,1.9045,0.272071428571429,7
"71",2024-10-26,2024-10-26,"2_D","2","D","0.4","1",7,NA,1.9191,0.274157142857143,2.32,1.14,0.42,20.2,6.11,56.8,3520,21,55,0,93,17,"High","Med",5.96590909090909,15.625,0,26.4204545454545,21.5909090909091,0,0,0,0,1.9191,0.274157142857143,8
"72",2024-11-16,2024-11-16,"2_D","2","D","0.4","1",6,NA,1.6236,0.2706,0.94,1.8,0.41,14.8,6.27,54,3950,101,46,0,188,41,"Med","Med",25.5696202531646,11.6455696202532,0,47.5949367088608,37.2151898734177,0,0,0,0,1.6236,0.2706,9
"73",2024-07-23,2024-07-23,"3_A","3","A","3","1",46,62,2.6289,0.05715,0.67968,NA,2.93,28.2,6.24,16.8,3800,130,157,0,288,12,"Null","Null",34.2105263157895,41.3157894736842,0,75.7894736842105,75.5263157894737,0,0,0,0,2.6289,0.05715,1
"74",2024-08-03,2024-08-03,"3_A","3","A","3","1",26,46,3.5507,0.136565384615385,0.57,1.02,3.12,28,4.44,31.1,3930,136,13,0,152,3,"Med","None",34.6055979643766,3.30788804071247,0,38.676844783715,37.9134860050891,0,0,0,0,3.5507,0.136565384615385,2
"75",2024-08-17,2024-08-17,"3_A","3","A","3","1",25,26,5.0282,0.201128,2.69,1.93,3.05,25.7,5.79,45.2,3970,122,0,0,140,18,"Med","Low",30.7304785894207,0,0,35.264483627204,30.7304785894207,0,0,0,0,5.0282,0.201128,3
"76",2024-08-31,2024-08-31,"3_A","3","A","3","1",24,25,4.7937,0.1997375,1.23,1.23,3.06,28,5.95,48.2,3930,27,0,0,28,1,"Med","Low",6.87022900763359,0,0,7.12468193384224,6.87022900763359,0,0,0,0,4.7937,0.1997375,4
"77",2024-09-14,2024-09-14,"3_A","3","A","3","1",25,24,5.638,0.22552,6.39,7.4,3.1,23.7,6.13,56,3820,30,0,0,36,6,"Med","None",7.85340314136126,0,0,9.42408376963351,7.85340314136126,0,0,0,0,5.638,0.22552,5
"78",2024-09-28,2024-09-28,"3_A","3","A","3","1",24,NA,5.5022,0.229258333333333,2.68,2.99,2.76,24.7,5.99,27.4,4100,162,1,0,189,26,"Med","Med",39.5121951219512,0.24390243902439,0,46.0975609756098,39.7560975609756,0,0,0,0,5.5022,0.229258333333333,6
"79",2024-10-12,2024-10-12,"3_A","3","A","3","1",21,NA,4.7578,0.226561904761905,0.68,0.62,3.15,17.2,6.45,63.3,3780,266,1,10,278,1,"Low","Low",70.3703703703704,0.264550264550265,2.64550264550265,73.5449735449735,73.2804232804233,0,0,0,0,4.7578,0.226561904761905,7
"80",2024-10-26,2024-10-26,"3_A","3","A","3","1",20,NA,4.3171,0.215855,0.51,2.01,3.02,20.5,6.34,58.8,3930,276,5,39,323,3,"Med","Med",70.2290076335878,1.27226463104326,9.9236641221374,82.1882951653944,81.4249363867685,0,0,0,0,4.3171,0.215855,8
"81",2024-11-16,2024-11-16,"3_A","3","A","3","1",8,NA,1.7629,0.2203625,0.53,0.66,3.01,14.8,6.65,64.7,4080,92,44,226,374,12,"Low","Low",22.5490196078431,10.7843137254902,55.3921568627451,91.6666666666667,88.7254901960784,0,0,0,0,1.7629,0.2203625,9
"82",2024-07-23,2024-07-23,"3_B","3","B","3","1",13,44,1.6747,0.128823076923077,2.27424,NA,2.93,28.2,6.24,16.8,3800,130,157,0,288,12,"Null","Null",34.2105263157895,41.3157894736842,0,75.7894736842105,75.5263157894737,0,0,0,0,1.6747,0.128823076923077,1
"83",2024-08-03,2024-08-03,"3_B","3","B","3","1",11,13,3.2676,0.297054545454545,0.85,1.02,3.12,28,4.44,31.1,3930,136,13,0,152,3,"Med","None",34.6055979643766,3.30788804071247,0,38.676844783715,37.9134860050891,0,0,0,0,3.2676,0.297054545454545,2
"84",2024-08-17,2024-08-17,"3_B","3","B","3","1",10,11,4.5739,0.45739,2.42,1.93,3.05,25.7,5.79,45.2,3970,122,0,0,140,18,"Med","Low",30.7304785894207,0,0,35.264483627204,30.7304785894207,0,0,0,0,4.5739,0.45739,3
"85",2024-08-31,2024-08-31,"3_B","3","B","3","1",9,10,3.9345,0.437166666666667,1.11,1.23,3.06,28,5.95,48.2,3930,27,0,0,28,1,"Med","Low",6.87022900763359,0,0,7.12468193384224,6.87022900763359,0,0,0,0,3.9345,0.437166666666667,4
"86",2024-09-14,2024-09-14,"3_B","3","B","3","1",9,9,4.601,0.511222222222222,6.29,7.4,3.1,23.7,6.13,56,3820,30,0,0,36,6,"Med","None",7.85340314136126,0,0,9.42408376963351,7.85340314136126,0.1939,1,0.1939,1,4.7949,0.47949,5
"87",2024-09-28,2024-09-28,"3_B","3","B","3","1",8,NA,4.1991,0.5248875,2.7,2.99,2.76,24.7,5.99,27.4,4100,162,1,0,189,26,"Med","Med",39.5121951219512,0.24390243902439,0,46.0975609756098,39.7560975609756,0.272,1,0.4659,2,4.665,0.518333333333333,6
"88",2024-10-12,2024-10-12,"3_B","3","B","3","1",6,NA,2.9889,0.49815,0.58,0.62,3.15,17.2,6.45,63.3,3780,266,1,10,278,1,"Low","Low",70.3703703703704,0.264550264550265,2.64550264550265,73.5449735449735,73.2804232804233,0.4034,2,0.8693,4,3.8582,0.482275,7
"89",2024-10-26,2024-10-26,"3_B","3","B","3","1",5,NA,2.3837,0.47674,1.01,2.01,3.02,20.5,6.34,58.8,3930,276,5,39,323,3,"Med","Med",70.2290076335878,1.27226463104326,9.9236641221374,82.1882951653944,81.4249363867685,0.4034,2,0.8693,4,3.253,0.464714285714286,8
"90",2024-11-16,2024-11-16,"3_B","3","B","3","1",5,NA,2.026,0.4052,0.69,0.66,3.01,14.8,6.65,64.7,4080,92,44,226,374,12,"Low","Low",22.5490196078431,10.7843137254902,55.3921568627451,91.6666666666667,88.7254901960784,0.4034,2,0.8693,4,2.8953,0.413614285714286,9
"91",2024-07-23,2024-07-23,"3_C","3","C","3","0",3,3,0.9262,0.308733333333333,6.85344,NA,2.93,28.2,6.24,16.8,3800,130,157,0,288,12,"Null","Null",34.2105263157895,41.3157894736842,0,75.7894736842105,75.5263157894737,0,0,0,0,0.9262,0.308733333333333,1
"92",2024-08-03,2024-08-03,"3_C","3","C","3","0",3,3,2.4535,0.817833333333333,0.62,1.02,3.12,28,4.44,31.1,3930,136,13,0,152,3,"Med","None",34.6055979643766,3.30788804071247,0,38.676844783715,37.9134860050891,0,0,0,0,2.4535,0.817833333333333,2
"93",2024-08-17,2024-08-17,"3_C","3","C","3","0",0,NA,0,0,1.69,1.93,3.05,25.7,5.79,45.2,3970,122,0,0,140,18,"Med","Low",30.7304785894207,0,0,35.264483627204,30.7304785894207,0,0,0,0,0,0,3
"94",2024-08-31,2024-08-31,"3_C","3","C","3","0",0,NA,0,0,1.22,1.23,3.06,28,5.95,48.2,3930,27,0,0,28,1,"Med","Low",6.87022900763359,0,0,7.12468193384224,6.87022900763359,0,0,0,0,0,0,4
"95",2024-09-14,2024-09-14,"3_C","3","C","3","0",0,NA,0,0,6.81,7.4,3.1,23.7,6.13,56,3820,30,0,0,36,6,"Med","None",7.85340314136126,0,0,9.42408376963351,7.85340314136126,0,0,0,0,0,0,5
